"Patient","KRAS","MLANA","TP53","DMD"
"BAY-H290",0.509514183970168,0.396345616783947,0.592952619306743,0.623170040315017
"BAY-H199",0.748250276315957,0.581924324156716,0.482689791591838,0.567219719989225
"BAY-H230",0.108253029873595,0.261836337624118,0.179719735868275,0.981419823132455
"BAY-H285",0.4238660344854,0.0566923345904797,0.265038845362142,0.308488667709753
"BAY-H160",0.256345367757604,0.104758027009666,0.802188439061865,0.772783796302974
"BAY-H379",0.299728413578123,0.792120428057387,0.434434761526063,0.4597619518172
"BAY-H287",0.733988028950989,0.94318305910565,0.229081798344851,0.103949054144323
"BAY-H303",0.899676337139681,0.303212707629427,0.300177132943645,0.087050017202273
"BAY-H373",0.545991876162589,0.593658677535132,0.424218786880374,0.5351891387254
"BAY-H288",0.347334484104067,0.167191461194307,0.219800092978403,0.990668835816905
"BAY-H217",0.383374386234209,0.563844829332083,0.397468714276329,0.262591803213581
"BAY-H284",0.026754534104839,0.640597815159708,0.160780363250524,0.297222529537976
"BAY-H344",0.855502941412851,0.579491119133309,0.520789952483028,0.859649971826002
"BAY-H276",0.855015240842476,0.06085778423585,0.317191718611866,0.07414690265432
"BAY-H164",0.802240928635001,0.164863078389317,0.676401278469712,0.423496374860406
"BAY-H243",0.354899778030813,0.219589577289298,0.580394848482683,0.935214643133804
"BAY-H269",0.556783451931551,0.234268895117566,0.94245780701749,0.369982866337523
"BAY-H134",0.845491246553138,0.413525534328073,0.602041003294289,0.149246197892353
"BAY-H275",0.797090900363401,0.586428974755108,0.122860191622749,0.983505383366719
"BAY-H294",0.871968195773661,0.486473004100844,0.72334187082015,0.319658226100728
"BAY-H380",0.855078392662108,0.513386928243563,0.34028877178207,0.551277603255585
"BAY-H206",0.798020752845332,0.216914543649182,0.513419943628833,0.173896122490987
"BAY-H1169",0.407807812094688,0.504626228474081,0.761064958525822,0.968528444180265
"BAY-H200",0.676268845330924,0.582304967800155,0.775939051294699,0.0337575571611524
"BAY-H079",0.289048068923876,0.213497046614066,0.880779789062217,0.600755716441199
"SLE-266",0.241948647657409,0.0785094359889627,0.989912008866668,0.436955225653946
"SLE-31",0.247405199101195,0.238594389986247,0.412938879569992,0.379218386719003
"SLE-190",0.731006315909326,0.281435053795576,0.852253537625074,0.932013759156689
"SLE-255",0.38277338212356,0.287530166096985,0.160338905872777,0.252491536084563
"SLE-225",0.31591151189059,0.2529785647057,0.767685344442725,0.726696496829391
"SLE-182",0.74659710819833,0.00377833796665072,0.417083961190656,0.701316490070894
"SLE-349",0.891928644385189,0.651492337230593,0.321574739646167,0.346063698874786
"SLE-324",0.707449527224526,0.794819832779467,0.983622173313051,0.314677346497774
"SLE-20",0.686535652261227,0.883188501931727,0.440427843015641,0.978690965566784
"SLE-179",0.232457826379687,0.217188325244933,0.532995234243572,0.435112729435787
"SLE-160",0.984699921216816,0.220277548767626,0.185574010247365,0.368661205517128
"SLE-79",0.764286669669673,0.841673659160733,0.978028893005103,0.0321687245741487
"SLE-340",0.239444160601124,0.340089293895289,0.471788479015231,0.053147301543504
"SLE-132",0.0816353135742247,0.0409690986853093,0.846225063782185,0.631340292980894
"SLE-163",0.526344452286139,0.272860905621201,0.37441914761439,0.988173420075327
"SLE-171",0.355857215356082,0.305994638008997,0.00223542377352715,0.805004893336445
"SLE-350",0.784681845223531,0.0597684043459594,0.232377270469442,0.520988278323784
"SLE-18",0.304115943843499,0.0622177165932953,0.31554395146668,0.0740550209302455
"SLE-183",0.898121531587094,0.610633966978639,0.437576671829447,0.932960574282333
"SLE-73",0.381238629110157,0.250485093099996,0.81709314044565,0.627546859672293
"SLE-176",0.801937884883955,0.799485047813505,0.081573472591117,0.58245770027861
"SLE-89",0.595121965976432,0.781350176781416,0.593670113477856,0.897700603120029
"SLE-241",0.0770039227791131,0.110349450260401,0.531448610126972,0.20366929564625
"SLE-90",0.316955581773072,0.44568639411591,0.573497670702636,0.762923663249239
"SLE-264",0.864623077446595,0.307258498389274,0.102930546971038,0.960733254207298
